0.000000,0.400000,0.400000 
0.010000,0.411486,0.419694 
0.020000,0.423579,0.440424 
0.030000,0.436330,0.462252 
0.040000,0.449791,0.485243 
0.050000,0.464022,0.509470 
0.060000,0.479088,0.535007 
0.070000,0.495061,0.561939 
0.080000,0.512023,0.590355 
0.090000,0.530060,0.620352 
0.100000,0.549273,0.652036 
0.110000,0.569769,0.685523 
0.120000,0.591673,0.720939 
0.130000,0.615120,0.758424 
0.140000,0.640265,0.798132 
0.150000,0.667278,0.840231 
0.160000,0.696355,0.884911 
0.170000,0.727714,0.932382 
0.180000,0.761603,0.982878 
0.190000,0.798304,1.036665 
0.200000,0.838138,1.094042 
0.210000,0.881473,1.155349 
0.220000,0.928730,1.220973 
0.230000,0.980395,1.291360 
0.240000,1.037032,1.367024 
0.250000,1.099294,1.448562 
0.260000,1.167948,1.536672 
0.270000,1.243894,1.632177 
0.280000,1.328195,1.736052 
0.290000,1.422122,1.849462 
0.300000,1.527195,1.973813 
0.310000,1.645255,2.110814 
0.320000,1.778552,2.262566 
0.330000,1.929859,2.431677 
0.340000,2.102639,2.621426 
0.350000,2.301274,2.835992 
0.360000,2.531388,3.080778 
0.370000,2.800331,3.362893 
0.380000,3.117895,3.691873 
0.390000,3.497438,4.080804 
0.400000,3.957685,4.548129 
0.410000,4.525748,5.120672 
0.420000,5.242463,5.838991 
0.430000,6.172401,6.767397 
0.440000,7.424144,8.014253 
0.450000,9.195656,9.777380 
0.460000,11.890295,12.460107 
0.470000,16.476605,17.031145 
0.480000,26.009706,26.546106 
0.490000,57.731557,58.248057 
0.500000,-1.#IND00,-1.#IND00 
0.510000,-1.#IND00,-1.#IND00 
0.520000,-1.#IND00,-1.#IND00 
0.530000,-1.#IND00,-1.#IND00 
0.540000,-1.#IND00,-1.#IND00 
0.550000,-1.#IND00,-1.#IND00 
0.560000,-1.#IND00,-1.#IND00 
0.570000,-1.#IND00,-1.#IND00 
0.580000,-1.#IND00,-1.#IND00 
0.590000,-1.#IND00,-1.#IND00 
0.600000,-1.#IND00,-1.#IND00 
0.610000,-1.#IND00,-1.#IND00 
0.620000,-1.#IND00,-1.#IND00 
0.630000,-1.#IND00,-1.#IND00 
0.640000,-1.#IND00,-1.#IND00 
0.650000,-1.#IND00,-1.#IND00 
0.660000,-1.#IND00,-1.#IND00 
0.670000,-1.#IND00,-1.#IND00 
0.680000,-1.#IND00,-1.#IND00 
0.690000,-1.#IND00,-1.#IND00 
